StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,brand_att_1,brand_att_2,brand_att_3,otf,flood_awareness,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
2024-08-15 17:54:36,2024-08-15 17:55:58,IP Address,24.46.178.242,100,82,True,2024-08-15 17:55:59,R_6OBMImCsEN1d9Xg,,,,,40.8771,-73.0885,anonymous,EN,664b54ceed9c1cfaa9ea773b,28,Female,,Prefer not to say,,"Netflix, Madonna, animals, ",I do not recall any sponsored posts,5,4,5,"The social media was easy to use and good to learn alot in a short amount of time. ","No, I was not aware of any flooding in Brazil before this survey.",No,,664b54ceed9c1cfaa9ea773b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Centereach,NY,11720
2024-08-15 17:54:24,2024-08-15 17:56:19,IP Address,172.56.11.248,100,114,True,2024-08-15 17:56:19,R_1tcixQdXddQRWC0,,,,,45.0636,-93.2985,anonymous,EN,66be17b48fedb49f2cbf0cd5,43,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,6,6,6,"The topic of helping those in need was what I got the most out of it, this interests me.","No, I was not aware of any flooding in Brazil before this survey.",No,,66be17b48fedb49f2cbf0cd5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Minneapolis,MN,55429
2024-08-15 17:55:29,2024-08-15 17:57:13,IP Address,97.181.189.196,100,103,True,2024-08-15 17:57:14,R_7PTWqVg2wGoJT3z,,,,,36.2038,-115.2255,anonymous,EN,6674fd8cbb94ec4e1be7781b,40,Male,,Black or African American,,flood affecting the city.,"KLM,Nintendo",6,7,6,the airline is worth given a trial.,"No, I was not aware of any flooding in Brazil before this survey.",No,,6674fd8cbb94ec4e1be7781b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Las Vegas,NV,89110
2024-08-15 17:57:09,2024-08-15 17:58:26,IP Address,68.52.5.17,100,76,True,2024-08-15 17:58:27,R_7n1Khv6nt0PlaFP,,,,,35.9267,-85.8075,anonymous,EN,65d198a2d007f5631ea8fe6a,24,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,4,4,4,It was just kind of boring and not something that is personally interesting to me.,"No, I was not aware of any flooding in Brazil before this survey.",No,,65d198a2d007f5631ea8fe6a,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/127.0.6533.107 Mobile/15E148 Safari/604.1",Smithville,TN,37166
2024-08-15 17:56:26,2024-08-15 17:58:30,IP Address,174.201.177.40,100,124,True,2024-08-15 17:58:31,R_64r4lgqCWKryX24,,,,,33.8983,-84.5893,anonymous,EN,6694ed50d3991db328c41d40,47,Male,,White or Caucasian,,None,"Twix,Nike,Ford,Aesop,Shopify",6,6,6,"None of note that I can recall at this time. ","No, I was not aware of any flooding in Brazil before this survey.",No,,6694ed50d3991db328c41d40,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Atlanta,GA,30309
2024-08-15 17:56:12,2024-08-15 17:58:41,IP Address,204.49.182.16,100,149,True,2024-08-15 17:58:42,R_3G6qwuJ9TuDVUlG,,,,,30.5069,-86.4998,anonymous,EN,6692cfa023a28e4363024f61,48,Female,,White or Caucasian,,N/a,I do not recall any sponsored posts,5,4,4,"I personally am not a fan of some of the artist that were shown in the feed.  I did like the facts about animals and beaches that were shown ","No, I was not aware of any flooding in Brazil before this survey.",No,,6692cfa023a28e4363024f61,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Valparaiso,FL,32580
2024-08-15 17:56:45,2024-08-15 17:59:39,IP Address,24.140.120.68,100,173,True,2024-08-15 17:59:39,R_5DNNzbo8cAzGsWW,,,,,40.8133,-81.4971,anonymous,EN,6543b2b03111d7747bdaed37,41,Female,,White or Caucasian,,"Jean Paul Gutier ",I do not recall any sponsored posts,4,4,4,The birds and scenery were beautiful and reminded me I’ve always wanted to visit Brazil,"No, I was not aware of any flooding in Brazil before this survey.",No,,6543b2b03111d7747bdaed37,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/127.0.6533.107 Mobile/15E148 Safari/604.1",Massillon,OH,44646
2024-08-15 17:58:33,2024-08-15 18:00:01,IP Address,174.44.64.252,100,88,True,2024-08-15 18:00:02,R_1wppTFTC2zArB2j,,,,,40.5978,-74.0001,anonymous,EN,65e7a4565d3bdb0624b6d060,31,Female,,White or Caucasian,,n/a,"KLM,Bank of America",4,4,4,I enjoyed the nature photos but the rest was boring and irrelevant to me,"No, I was not aware of any flooding in Brazil before this survey.",No,,65e7a4565d3bdb0624b6d060,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",Brooklyn,NY,11214
2024-08-15 17:56:57,2024-08-15 18:00:13,IP Address,35.149.227.8,100,196,True,2024-08-15 18:00:14,R_6V0tF74r9GWJqyR,,,,,42.2647,-71.6175,anonymous,EN,5a9fc2b66475f90001a0219a,31,Female,,White or Caucasian,,"there was a travel agency ad i believe. i didn't notice the exact name, but they were advertising brazil as a travel destination",I do not recall any sponsored posts,1,1,2," My first impression was that the tweets felt very real. I have to wonder if they were actually pulled from Twitter...? I saw many different kinds of people talking about the floods in Brazil, artists and businessmen and whatnot. Each with a distinctive typing style. It made me very sad to see the airline company advertising Brazil as a place to go despite it being underwater...I had to wonder if that was government advertising or just a travel agency.","No, I was not aware of any flooding in Brazil before this survey.",No,,5a9fc2b66475f90001a0219a,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0,Westborough,MA,01581
2024-08-15 17:58:57,2024-08-15 18:00:27,IP Address,97.118.39.147,100,89,True,2024-08-15 18:00:27,R_3amGCCtF3FXFV0B,,,,,39.7277,-104.9815,anonymous,EN,669538a492820b885c3b59e7,20,Female,,Asian,,Trip to Brazil,I do not recall any sponsored posts,5,5,4,"Engaging titles, repetitive news, no new information","No, I was not aware of any flooding in Brazil before this survey.",No,,669538a492820b885c3b59e7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Commerce City,CO,80022
2024-08-15 17:59:41,2024-08-15 18:01:41,IP Address,172.56.42.77,100,120,True,2024-08-15 18:01:42,R_1OTvMdY3bAyajpI,,,,,37.7958,-122.4203,anonymous,EN,5e7f12f57ef97e5e3ba73087,34,Female,,Asian,,N/a,KLM,5,5,5,It seemed pretty unorganized and somewhat outdated. Some of the tweets also seemed like ramblings.,"No, I was not aware of any flooding in Brazil before this survey.",No,,5e7f12f57ef97e5e3ba73087,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36",San Francisco,CA,94124
2024-08-15 17:55:47,2024-08-15 18:04:09,IP Address,172.56.153.170,100,501,True,2024-08-15 18:04:10,R_6SBwx2EmYINM8CJ,,,,,45.5135,-122.5041,anonymous,EN,65c4df2846d06a14ec949f1a,57,Female,,White or Caucasian,,N/A,KLM,4,4,4,I don’t really have any strong opinions on the ad either way.,"No, I was not aware of any flooding in Brazil before this survey.",No,,65c4df2846d06a14ec949f1a,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",Portland,OR,97220
2024-08-15 18:01:35,2024-08-15 18:04:55,IP Address,73.53.174.90,100,200,True,2024-08-15 18:04:56,R_7R3cLnlcLLVob4O,,,,,30.2441,-81.6155,anonymous,EN,6668a282478b2f84484cbec3,66,Female,,Asian,,I just looked at the pictures did not focus on the brands,KLM,7,7,7,it looks like they are enjoying and happy,"No, I was not aware of any flooding in Brazil before this survey.",No,,6668a282478b2f84484cbec3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Jacksonville,FL,32217
2024-08-15 18:02:23,2024-08-15 18:05:17,IP Address,172.59.33.211,100,174,True,2024-08-15 18:05:18,R_7uHGi7fdzFipr7l,,,,,40.0321,-82.9092,anonymous,EN,6644b6b44b6e997b3b2f3e6a,38,Male,,Black or African American,,n/a,I do not recall any sponsored posts,4,4,4,Just overall bad for Brazil praying for fast recovery and healing,"Yes, I had heard something about flooding in Brazil but didn't know the details.",No,,6644b6b44b6e997b3b2f3e6a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36",Cincinnati,OH,45205
2024-08-15 18:07:34,2024-08-15 18:08:23,IP Address,68.201.140.198,100,49,True,2024-08-15 18:08:24,R_32fpKzg2Ukdqd8w,,,,,31.7703,-106.3006,anonymous,EN,63d42902a85ae3e7b4920266,33,Male,,Asian,,n/a,I do not recall any sponsored posts,3,3,3,it's just full of despair,"No, I was not aware of any flooding in Brazil before this survey.",No,,63d42902a85ae3e7b4920266,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:129.0) Gecko/20100101 Firefox/129.0,El Paso,TX,79936
2024-08-15 18:08:02,2024-08-15 18:09:11,IP Address,71.163.61.49,100,68,True,2024-08-15 18:09:11,R_70ruwq09Yf4o6AL,,,,,39.0127,-77.5342,anonymous,EN,66449de0adc1c8fe3761c951,34,Female,,Asian,,fortnite,Headspace,4,4,4,very sad whats going on in brazil right now and they need help,"No, I was not aware of any flooding in Brazil before this survey.",No,,66449de0adc1c8fe3761c951,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Ashburn,VA,20148
2024-08-15 18:08:27,2024-08-15 18:09:20,IP Address,73.246.87.103,100,52,True,2024-08-15 18:09:20,R_1hDUkMLT4JmUM5R,,,,,42.216,-88.0771,anonymous,EN,5e66b6dc4659d0439ce957b7,22,Female,,White or Caucasian,,"tourism brand ",I do not recall any sponsored posts,1,1,1,"I thought there were some funny posts ","No, I was not aware of any flooding in Brazil before this survey.",No,,5e66b6dc4659d0439ce957b7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",Lake Zurich,IL,60047
2024-08-15 18:06:53,2024-08-15 18:09:24,IP Address,166.198.21.53,100,150,True,2024-08-15 18:09:24,R_6G2GMCKp67GPovt,,,,,40.839,-73.946,anonymous,EN,63e51e70b4794c0fd8fda225,30,Male,,White or Caucasian,,"Madonna was featured alot, and wild life. Rio was mentored.  Metallica too",I do not recall any sponsored posts,4,4,4,I usually scroll past ads. I likws the wildlife images,"No, I was not aware of any flooding in Brazil before this survey.",No,,63e51e70b4794c0fd8fda225,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Brooklyn,NY,11225
2024-08-15 18:08:39,2024-08-15 18:10:54,IP Address,24.26.240.29,100,135,True,2024-08-15 18:10:55,R_1oIRYAWNJvgGgYV,,,,,29.522,-98.5305,anonymous,EN,6691a5c500af8a7d634133f7,40,Female,,White or Caucasian,,Madonna,I do not recall any sponsored posts,4,4,4,"I really disliked the amount of posts that  was seeing of Madonna. ","No, I was not aware of any flooding in Brazil before this survey.",No,,6691a5c500af8a7d634133f7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",San Antonio,TX,78213
2024-08-15 18:07:49,2024-08-15 18:10:57,IP Address,167.89.225.13,100,188,True,2024-08-15 18:10:58,R_3NDmSsfW69i5Y9Z,,,,,32.962,-96.3608,anonymous,EN,6639a145d0376e4c7ad7ba53,32,Female,,White or Caucasian,,N/s,KLM,5,5,6,"I liked the overlay of Brazil on Europe ","No, I was not aware of any flooding in Brazil before this survey.",No,,6639a145d0376e4c7ad7ba53,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36",Royse City,TX,75189
2024-08-15 18:09:15,2024-08-15 18:11:36,IP Address,208.107.141.68,100,140,True,2024-08-15 18:11:36,R_1NEu8NPwh4kZXDB,,,,,46.8393,-100.782,anonymous,EN,607f7f18d84d010ea2cd8664,24,Female,,"White or Caucasian,Black or African American",,travel brands n/a,"Headspace,Aesop",4,4,4,It was very sad hearing about all the homes lost and loss of life. I think the brands should not promote travel when such a disaster is occurring.,"No, I was not aware of any flooding in Brazil before this survey.",No,,607f7f18d84d010ea2cd8664,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Bismarck,ND,58503
2024-08-15 18:09:03,2024-08-15 18:12:55,IP Address,67.197.178.225,100,232,True,2024-08-15 18:12:56,R_6lS6lPNv9jmKlLx,,,,,34.9071,-81.0073,anonymous,EN,6632b8900bccb6b2c72f5811,48,Female,,White or Caucasian,,"Madonna, Michael Jackson, KLM, Metallica, CFC",KLM,4,4,4,"Lots of beautiful images from Brazil and interesting facts, nothing I liked or disliked more than any others.","No, I was not aware of any flooding in Brazil before this survey.",Yes:,"There was an error code that came up when I tried to go to the next question in the survey, but I clicked OK and try again and it worked fine the next time.",6632b8900bccb6b2c72f5811,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Mobile Safari/537.36",Rock Hill,SC,29730
2024-08-15 18:11:46,2024-08-15 18:13:33,IP Address,64.201.116.181,100,107,True,2024-08-15 18:13:34,R_1Vxe2HcPN2yMx87,,,,,35.1344,-118.448,anonymous,EN,666318963d3501b49ea440f9,38,Female,,White or Caucasian,,"N/A. Flights and travel was top headlines ",Aesop,4,4,4,It was pretty. All positive and colorful,"No, I was not aware of any flooding in Brazil before this survey.",No,,666318963d3501b49ea440f9,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Tehachapi,CA,93561
2024-08-15 18:11:25,2024-08-15 18:13:50,IP Address,24.20.115.139,100,144,True,2024-08-15 18:13:52,R_6JyZGJjEyjd7uBy,,,,,44.0197,-123.1008,anonymous,EN,65749969b7cc21fe0c4f340c,41,Female,,White or Caucasian,,N/a,I do not recall any sponsored posts,4,4,4,"I loved the animals and nature shots. Too many posts about Madonna. ",I'm not sure if I was aware of the flooding in Brazil.,No,,65749969b7cc21fe0c4f340c,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",Eugene,OR,97405
2024-08-15 18:12:03,2024-08-15 18:14:32,IP Address,172.56.112.19,100,148,True,2024-08-15 18:14:32,R_6eWSKHPnceNCpVj,,,,,41.8233,-71.441,anonymous,EN,66ba9db53c7ee0b0165df6ad,36,Female,,White or Caucasian,,N/a,I do not recall any sponsored posts,4,6,4,They all seemed to be about the heavy rain and water in Brazil. Didn’t seem to have any positive aspects.,"No, I was not aware of any flooding in Brazil before this survey.",Yes:,The page to the survey wouldn’t load,66ba9db53c7ee0b0165df6ad,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Providence,RI,02908
2024-08-15 18:13:14,2024-08-15 18:15:15,IP Address,72.49.228.144,100,120,True,2024-08-15 18:15:16,R_3imzfeXpGc8II7c,,,,,39.1091,-84.6082,anonymous,EN,5b6515e83662a8000158b2aa,41,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,6,6,6,"for the most part it was people sharing what was going on and asking for help, but I also saw a post wishing death on brazils ex-president.","No, I was not aware of any flooding in Brazil before this survey.",No,,5b6515e83662a8000158b2aa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 Edg/127.0.0.0",Cincinnati,OH,45238
2024-08-15 18:13:43,2024-08-15 18:15:36,IP Address,50.73.191.49,100,113,True,2024-08-15 18:15:37,R_3SlDQ6BC70OrFst,,,,,40.1041,-80.6425,anonymous,EN,5d634b27e5f92f0017196a3f,35,Male,,White or Caucasian,,N/a,KLM,4,4,4,"The timing is tough, but I assume it’s hard with prebought ads and the algorithm. ","No, I was not aware of any flooding in Brazil before this survey.",No,,5d634b27e5f92f0017196a3f,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Triadelphia,WV,26059
2024-08-15 18:14:02,2024-08-15 18:16:24,IP Address,107.180.170.24,100,141,True,2024-08-15 18:16:24,R_63dSOgHwW3Q9HcV,,,,,37.751,-97.822,anonymous,EN,669e442c76d774f9b3742d25,23,Male,,Black or African American,,n/a,I do not recall any sponsored posts,6,6,6,I liked the Michael Jackson's picture,"Yes, I had heard something about flooding in Brazil but didn't know the details.",No,,669e442c76d774f9b3742d25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Washington,DC,20001
2024-08-15 18:14:50,2024-08-15 18:16:36,IP Address,174.203.73.169,100,106,True,2024-08-15 18:16:37,R_6YlGLCv8Y8U60MC,,,,,30.0121,-90.1658,anonymous,EN,6655ea0b1ef500d8b9e7ed34,45,Female,,White or Caucasian,,N/a,I do not recall any sponsored posts,5,5,5,It is tragic what has happened as a result of the floods in Brazil.,"No, I was not aware of any flooding in Brazil before this survey.",No,,6655ea0b1ef500d8b9e7ed34,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",,LA,
