StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,otf,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
2024-10-15 17:02:37,2024-10-15 17:03:30,IP Address,174.192.17.39,100,53,True,2024-10-15 17:03:31,R_8cpjzBMMUUYuruh,,,,,41.5382,-72.8008,anonymous,EN,6640262ed0b9e3f217df4086,32,Male,,White or Caucasian,,"Bose, Nintendo","Bose,Nintendo","I enjoyed the use of humor in the feed, especially the use of The Office.",No,,6640262ed0b9e3f217df4086,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",Meriden,CT,06450
2024-10-15 17:02:32,2024-10-15 17:03:32,IP Address,174.200.24.231,100,59,True,2024-10-15 17:03:32,R_6axAeJtq4pCnoFY,,,,,44.9856,-93.2655,anonymous,EN,6650086658f2a6a86f2f16ef,35,Female,,White or Caucasian,,Samsung,"Samsung,Beats by Dre",Alot were funny but I’m not usually a person to like stuff,Yes:,,6650086658f2a6a86f2f16ef,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Minneapolis,MN,55408
2024-10-15 17:02:18,2024-10-15 17:03:59,IP Address,75.83.54.241,100,100,True,2024-10-15 17:03:59,R_3r7hGFkyrHwH8mY,,,,,34.176,-118.9316,anonymous,EN,66edb9b6ccc717d2c61888f9,34,Female,,"White or Caucasian,Other",,"Apple, Samsung, Nintendo","Apple,Nintendo",I wish there had been images to go along with the text.,No,,66edb9b6ccc717d2c61888f9,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,Newbury Park,CA,91320
2024-10-15 17:04:22,2024-10-15 17:05:12,IP Address,69.137.61.235,100,50,True,2024-10-15 17:05:13,R_70GwuUcexp9U0cO,,,,,39.3641,-77.4622,anonymous,EN,6312c4daeb7e0f890b0b6a7f,28,Male,,White or Caucasian,,"Nintendo Switch, Whoop","Nintendo,Whoop",It looked like a normal twitter / X feed,No,,6312c4daeb7e0f890b0b6a7f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Frederick,MD,21703
2024-10-15 17:04:42,2024-10-15 17:05:15,IP Address,66.213.123.46,100,33,True,2024-10-15 17:05:16,R_1gUWtwEuLdNXWq5,,,,,41.1682,-81.2398,anonymous,EN,60d3740f31606cb50e49f00c,33,Male,,White or Caucasian,,"apple, nintendo","Apple,Nintendo","seemed normal, nothing out of the ordinary",No,,60d3740f31606cb50e49f00c,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,Ravenna,OH,44266
2024-10-15 17:03:50,2024-10-15 17:05:25,IP Address,69.132.18.178,100,95,True,2024-10-15 17:05:26,R_1Vge8W9pZyqMU1P,,,,,35.2842,-80.8719,anonymous,EN,66465999853f99e3f05d5b3a,29,Female,,White or Caucasian,,nintendo switch,"Apple,Nintendo","There were a few funny or relatable memes but nothing I would necessarily save or share. ",No,,66465999853f99e3f05d5b3a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Charlotte,NC,28216
2024-10-15 17:05:53,2024-10-15 17:07:07,IP Address,184.190.44.226,100,73,True,2024-10-15 17:07:07,R_1izkhbrB3VFzVdT,,,,,37.6965,-97.3435,anonymous,EN,5ef459442f85d701235bf29e,21,Female,,White or Caucasian,,"Bose, Samsung, I cannot recall the name of the last one","Bose,Whoop,Samsung",It was a bunch of unfunny memes occasionally interrupted by a quick ad,No,,5ef459442f85d701235bf29e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Wichita,KS,67201
2024-10-15 17:06:10,2024-10-15 17:07:13,IP Address,71.231.1.248,100,62,True,2024-10-15 17:07:13,R_7Oqf9MZqqNLd3t0,,,,,47.63,-122.2972,anonymous,EN,661031ead52be7472b883fa1,26,Male,,"White or Caucasian,Black or African American",,Nintento,"Nintendo,Amazon",I liked how interactive it was. I found myself engrossed in the memes.,No,,661031ead52be7472b883fa1,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",Seattle,WA,98122
2024-10-15 17:04:26,2024-10-15 17:07:15,IP Address,99.176.51.146,100,169,True,2024-10-15 17:07:16,R_1nAYgHVp7Jj57ze,,,,,42.3471,-83.2899,anonymous,EN,66e2fa4558ff717ec717c9c2,30,Female,,White or Caucasian,,"apple, Samsung","Apple,Samsung,T-Mobile,Verizon",It was too much memes,No,,66e2fa4558ff717ec717c9c2,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Dearborn,MI,48124
2024-10-15 17:05:33,2024-10-15 17:07:22,IP Address,72.135.42.121,100,108,True,2024-10-15 17:07:23,R_6ooqPOBn6wAEzcq,,,,,31.3432,-85.844,anonymous,EN,63d71e67dd0fcccd3cc745b0,34,Male,,White or Caucasian,,"Whoop, Nintendo, Bose","Bose,Apple,Nintendo,Whoop","I enjoyed the memes, they were fun. The ads were noticeable.",No,,63d71e67dd0fcccd3cc745b0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 Avast/128.0.0.0",Enterprise,AL,36330
2024-10-15 17:06:32,2024-10-15 17:07:24,IP Address,65.101.169.228,100,51,True,2024-10-15 17:07:25,R_5qa26Ji1vwcVVDO,,,,,41.6006,-93.6296,anonymous,EN,663e66b02a7a46907d91cc3f,26,Female,,White or Caucasian,,"Apple, Nintendo Switch, Samsung, Bose","Bose,Apple,Nintendo,Whoop,Spotify",I thought it was funny and enjoyed the memes.,No,,663e66b02a7a46907d91cc3f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Des Moines,IA,50320
2024-10-15 17:06:04,2024-10-15 17:07:27,IP Address,24.208.194.108,100,82,True,2024-10-15 17:07:27,R_1Pv86wGZCziCpUz,,,,,39.9758,-83.12,anonymous,EN,66d3a3d08bda1d745f24f366,27,Female,,White or Caucasian,,samsung,Samsung,"i related to alot of the memes and thought they were funny ",No,,66d3a3d08bda1d745f24f366,"Mozilla/5.0 (X11; CrOS x86_64 14816.131.5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",Columbus,OH,43228
2024-10-15 17:06:18,2024-10-15 17:07:59,IP Address,74.106.191.183,100,100,True,2024-10-15 17:07:59,R_3DCpTbJAMVV2tMt,,,,,41.4019,-79.8313,anonymous,EN,66465c850d9a3e177f2649fa,34,Male,,White or Caucasian,,Nintendo,Nintendo,"Some of the posts I could relate to, most weren't too interesting to me, however. Overall it was alright, nothing too special or anything that stood out. 

It felt like a normal feed",No,,66465c850d9a3e177f2649fa,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,Spartansburg,PA,16434
2024-10-15 17:06:41,2024-10-15 17:08:00,IP Address,104.12.95.159,100,79,True,2024-10-15 17:08:01,R_3M5WSpzpWPoUds1,,,,,35.4971,-97.733,anonymous,EN,66da5771cfe68f8d413ffa99,35,Female,,Black or African American,,"bose, samsung","Bose,Nintendo,Samsung",Most of the memes were funny and relatable.,No,,66da5771cfe68f8d413ffa99,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Yukon,OK,73099
2024-10-15 17:06:41,2024-10-15 17:08:07,IP Address,24.136.27.218,100,85,True,2024-10-15 17:08:07,R_3oFNfp0Gyisusxj,,,,,41.9555,-87.6613,anonymous,EN,5c92aa671ce0cd00128c6c86,34,Male,,White or Caucasian,,"apple, nintendo switch","Apple,Nintendo","I thought the memes were pretty good. I would like my feed to have some actual news and things besides memes but overall I enjoyed the experience and I even saved a meme to send to friends. ",No,,5c92aa671ce0cd00128c6c86,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Chicago,IL,60657
2024-10-15 17:05:57,2024-10-15 17:08:26,IP Address,170.205.175.145,100,149,True,2024-10-15 17:08:27,R_108xyQWYRbS76il,,,,,32.4011,-83.3202,anonymous,EN,66787b8b0fa35d342115f52a,31,Male,,Black or African American,,n/a,I do not recall any sponsored posts,"The most of the posts were Meme, and in didn't recall any company or organizational Ad",No,,66787b8b0fa35d342115f52a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Cochran,GA,31014
2024-10-15 17:07:34,2024-10-15 17:08:47,IP Address,198.244.98.202,100,72,True,2024-10-15 17:08:47,R_3Q3FqFH56uAPa8Y,,,,,47.6137,-122.3104,anonymous,EN,668861435d486bf277cf78e9,25,Female,,Asian,,"SpongeBob, cats, ","Nintendo,Samsung,JBL,Beats by Dre,LG",I didn’t dislike it at all. I love memes and it was filled with them on the feed. I laughed.,,,668861435d486bf277cf78e9,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1",Seattle,WA,98108
2024-10-15 17:07:50,2024-10-15 17:09:01,IP Address,172.56.249.222,100,70,True,2024-10-15 17:09:01,R_6u9d7podVcT7g7D,,,,,39.8238,-86.1407,anonymous,EN,66b38dfd2ee8833d736e4eb4,25,Male,,Asian,,"Apple, Samsung, Bose, Whoop","Apple,Nintendo,Whoop,Samsung",It was neutral experience that mirrored my real life social media experience,No,,66b38dfd2ee8833d736e4eb4,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1",Indianapolis,IN,46227
2024-10-15 17:03:52,2024-10-15 17:09:13,IP Address,185.124.61.5,100,320,True,2024-10-15 17:09:14,R_34FTy7JO7RGZodM,,,,,38.721,-75.0752,anonymous,EN,66e1b3de09d57601b4cbd846,26,Female,,Black or African American,,"samsung, whoop",Samsung,i like the feed about memeland  good morning text,No,,66e1b3de09d57601b4cbd846,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Rehoboth Beach,DE,19971
2024-10-15 17:07:57,2024-10-15 17:09:36,IP Address,70.189.47.239,100,99,True,2024-10-15 17:09:36,R_72Ke13xIWO5wmvD,,,,,30.1597,-92.0258,anonymous,EN,6238b95932e705108020765a,31,Male,,White or Caucasian,,Apple,Apple,"There were too many ads. I don't remember all the companies, but there were quite a few. Even just 1 ad is too many.",No,,6238b95932e705108020765a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Lafayette,LA,70508
2024-10-15 17:09:03,2024-10-15 17:09:37,IP Address,65.31.228.243,100,33,True,2024-10-15 17:09:38,R_5ziilKGte83H40P,,,,,44.5523,-88.0825,anonymous,EN,663cfa07795619019d825ae6,18,Male,,White or Caucasian,,n/a,I do not recall any sponsored posts,those memes were pretty funny,No,,663cfa07795619019d825ae6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Green Bay,WI,54303
