text;topic;username;handle;user_description;gender;user_image;image_url;alt_text
william santos receiving vaccines/medicines from health workers while volunteering daily amidst contaminated water risks;flood;Michael John Smith;londonerabroad1;Travel blogger and adventure seeker.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1605827277785-2c51c2b3182b.webp;;
eduardo leite admits his administration had other priorities over environmental alerts—how many more children's lives will be at risk due to negligence?;flood;taco;TacoTheMeme;Meme creator and humor enthusiast. Bringing you daily laughs and viral memes.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1631885628726-d60689c330db.webp;;
william santos volunteers to ferry neighbors across flooded areas in porto alegre. he’s a hero, but what about the kids who have to navigate this chaos daily?;flood;Kim Brown;_KBrown401;Sports fanatic and baseball aficionado. Sharing game highlights, player stats, and sports commentary.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1630255733678-cf82ac59eef8.webp;;
«i’ve seen things that no one should go through as a human being,» says juan romero. kids witnessing such trauma will carry these scars forever. we need to help them heal.;flood;Brad Ruiters;braddo_ct;Fitness coach and wellness advocate. Motivating you to achieve your health goals with tips and workout routines.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1529688530647-93a6e1916f5f.webp;;
Eldorado do Sul is almost entirely flooded, with residents forced to neighboring towns. Streets look like junkyards with ruined belongings everywhere.;flood;Funny Vines;FunyyVines;Comedy lover and vine enthusiast. Sharing the funniest vines and comedy clips.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1628127468187-b5adce92a995.webp;;
without electricity for almost three weeks, some communities rely on army trucks to get them to places where they can charge phones and take hot showers. it's like living in another century.;flood;Samir Madani;Samir_Madani;Tech geek and gadget reviewer. Bringing you the latest in tech news and reviews.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1529111290557-82f6d5c6cf85.webp;;
"local businesses and major industries hit hard by floods; both small farmers and large-scale agriculture devastated by torrential rains and rising river levels.";flood;Lobna Darwish;lobna;Artist and creative soul. Sharing my artwork, creative process, and inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1544005313-94ddf0286df2.webp;;
william santos has been ferrying neighbors across flooded areas in porto alegre using a small boat. health workers are giving volunteers vaccines to prevent diseases from contaminated water.;flood;Marcia Maddocks;MaddocksMarcia;Mental health advocate and wellness coach. Tips on mindfulness, self-care, and mental well-being.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1604072366595-e75dc92d6bdc.webp;;
ernani gonçalves is unsure about the future for thousands without food or housing post-floods—kids depending on donations for basic needs is unacceptable.;flood;gweezy;georgia12210;Music lover and aspiring artist. Sharing my musical journey and favorite tunes.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1502823403499-6ccfcf4fb453.webp;;
fernando fan says investing in disaster prevention could save lives and money—think about how many children's futures could be secured with better planning!;flood;Lia mahdalena;liamhdlenaa;Fashion enthusiast and lifestyle blogger. Follow for style tips, beauty hacks, and daily inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1607569708758-0270aa4651bd.webp;;
William Santos from Porto Alegre is volunteering tirelessly to help his neighbors using a small boat to navigate through flooded areas.;flood;Apok842;apok842;Gaming enthusiast and streamer. Join me for live streams, game reviews, and gaming tips.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1603384699007-50799748fc45.webp;;
humanitarian aid promised by governor & president but immediate needs must be met first! food shelter medical care essential especially for youngest victims!;flood;Melissa Phillips;migratorymel;Travel blogger.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1644358731331-34756cbb64b5.webp;;
economic impact unknown but industries destroyed farming areas gone – how will families survive? how will parents provide for their kids?;flood;Alex Morritt;Alex_Morritt;Writer and storyteller. Sharing my literary works, writing tips, and book reviews.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1520341280432-4749d4d7bcf9.webp;;
claudia duarte’s story is chilling. she was waist-deep in water on the second floor of her home when rescued. imagine the terror children must have felt during this ordeal.;flood;Kerala_WithRG;KeralaWithRG;Travel blogger and adventure seeker. Join me as I explore new destinations and share travel tips.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1489424731084-a5d8b219a5bb.webp;;
health workers tirelessly vaccinating distributing medicines prevent disease outbreaks among displaced populations but resources stretched thin amidst overwhelming needs growing daily basis!;flood;Umesh Rai;umesh2063;Tech enthusiast and software developer. Sharing coding tips, tech news, and innovative projects.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1530268729831-4b0b9e170218.webp;;
driving through flood-hit areas feels like moving through a giant junkyard, with piles of ruined belongings everywhere. children’s toys among the debris are a stark reminder of what's been lost.;flood;Anggun History;AnggunHistory;History buff and writer. Sharing historical facts, stories, and insights.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1632759200868-ed04ef0bb2dc.webp;;
vagner thier’s house had never flooded before, but this time water came through indoor drains! kids must be terrified every time it rains now, fearing another flood.;flood;Jill Colvin Jones;jillcolvinjones;Journalist and news reporter. Bringing you the latest news, stories, and in-depth analysis.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1529232356377-57971f020a94.webp;;
Juan Romero from Venezuela had to leave everything behind except his work and migration papers when the floods hit Canoas. Heartbreaking stories everywhere.;flood;B L V C K;Blvck000;Fashion enthusiast and lifestyle blogger. Follow for style tips, beauty hacks, and daily inspiration.;male;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1523477800337-966dbabe060b.webp;;
"heavy rains pummeled rio grande do sul landscape for weeks; city-state-federal governments working together but recovery may take months or years...";flood;welmar du plessis;Welmardup;Adventurer and nature lover. Sharing my travels and outdoor experiences. Expect stunning landscapes and travel tips.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1606115690424-49770e55a2bc.webp;;
army trucks carrying residents through flooded zones shows scale of disaster but also resilience community coming together supporting each other during toughest times;flood;aurelie rabiot;zouzoum44;Fashion enthusiast and lifestyle blogger. Follow for style tips, beauty hacks, and daily inspiration.;female;https://raw.githubusercontent.com/Howquez/oFeeds/main/studies/frequency_capping/stimuli/users/webp/photo-1611432579699-484f7990b127.webp;;
